Iteration,Xk,FXk 
732,"[0.095543, 0.077918, -0.40042, 0.68293, 0.25242, 0.11791, 0.04799, 0.10977, -0.24563, 0.012643, 0.33321, 0.73929, 0.55315, -0.12462, 0.11589, -0.18491, 0.19936, 0.085108, 0.066231, -0.38273, -0.10514, -0.28617, -0.52211, -0.78334, 0.20858, 0.27122, -0.27737, 0.16048, 0.030287]",17.643
733,"[0.095618, 0.078085, -0.40091, 0.68329, 0.25209, 0.11766, 0.048358, 0.10939, -0.24589, 0.012986, 0.33332, 0.73967, 0.55331, -0.125, 0.11606, -0.18518, 0.19919, 0.084899, 0.066214, -0.38275, -0.10537, -0.28672, -0.52254, -0.78343, 0.20816, 0.27101, -0.27764, 0.16081, 0.030688]",17.641
734,"[0.095698, 0.07817, -0.40089, 0.68337, 0.25214, 0.11772, 0.048443, 0.10943, -0.24584, 0.013081, 0.3334, 0.73976, 0.55338, -0.12495, 0.11614, -0.18512, 0.19925, 0.08496, 0.066282, -0.38268, -0.1053, -0.28668, -0.5225, -0.78336, 0.20822, 0.27106, -0.27758, 0.16089, 0.030771]",17.641
735,"[0.095775, 0.078323, -0.40138, 0.68372, 0.25182, 0.11749, 0.048826, 0.10908, -0.24613, 0.013413, 0.33351, 0.74014, 0.55352, -0.12533, 0.11631, -0.18543, 0.19909, 0.084781, 0.066231, -0.38269, -0.10551, -0.28722, -0.52292, -0.78348, 0.20779, 0.27086, -0.27786, 0.16125, 0.031197]",17.638
736,"[0.095854, 0.078408, -0.40136, 0.6838, 0.25187, 0.11755, 0.04891, 0.10912, -0.24608, 0.013508, 0.33359, 0.74023, 0.55359, -0.12528, 0.11639, -0.18537, 0.19915, 0.084843, 0.066299, -0.38262, -0.10544, -0.28718, -0.52288, -0.78341, 0.20785, 0.27091, -0.2778, 0.16133, 0.031281]",17.637
737,"[0.095913, 0.078592, -0.40183, 0.68413, 0.25155, 0.11733, 0.049287, 0.10874, -0.24635, 0.013835, 0.33371, 0.74062, 0.55371, -0.12565, 0.11657, -0.18564, 0.19899, 0.084659, 0.066249, -0.38265, -0.10565, -0.28771, -0.52328, -0.78353, 0.20743, 0.27072, -0.27808, 0.16167, 0.031692]",17.638
738,"[0.095991, 0.078675, -0.40181, 0.68421, 0.2516, 0.11739, 0.04937, 0.10878, -0.2463, 0.01393, 0.33379, 0.74071, 0.55378, -0.1256, 0.11665, -0.18558, 0.19905, 0.084718, 0.066316, -0.38258, -0.10559, -0.28767, -0.52324, -0.78346, 0.20749, 0.27077, -0.27802, 0.16175, 0.031774]",17.636
739,"[0.096035, 0.078757, -0.40212, 0.68442, 0.25138, 0.11724, 0.049606, 0.10852, -0.2465, 0.014144, 0.33384, 0.74095, 0.55386, -0.12586, 0.11674, -0.18577, 0.19894, 0.084576, 0.066289, -0.3826, -0.10575, -0.28803, -0.52352, -0.78355, 0.20722, 0.27065, -0.27819, 0.16195, 0.032026]",17.634
740,"[0.096099, 0.078827, -0.40211, 0.68449, 0.25142, 0.11728, 0.049679, 0.10855, -0.24646, 0.014225, 0.3339, 0.74103, 0.55392, -0.12582, 0.11681, -0.18572, 0.19899, 0.084623, 0.066345, -0.38254, -0.1057, -0.288, -0.52349, -0.7835, 0.20726, 0.27069, -0.27815, 0.16202, 0.032097]",17.633
741,"[0.096117, 0.0789, -0.40238, 0.68466, 0.25123, 0.11714, 0.049852, 0.10834, -0.24662, 0.014393, 0.33395, 0.74124, 0.55398, -0.12603, 0.11689, -0.18589, 0.19888, 0.084505, 0.066322, -0.38256, -0.10584, -0.2883, -0.52373, -0.78358, 0.20703, 0.27058, -0.27831, 0.16218, 0.032297]",17.633
742,"[0.096179, 0.078965, -0.40237, 0.68473, 0.25126, 0.11718, 0.04992, 0.10837, -0.24658, 0.01447, 0.33401, 0.74131, 0.55404, -0.126, 0.11696, -0.18585, 0.19892, 0.084549, 0.066372, -0.38251, -0.10579, -0.28828, -0.52371, -0.78353, 0.20707, 0.27062, -0.27827, 0.16225, 0.032365]",17.631
743,"[0.096188, 0.07902, -0.40264, 0.6849, 0.25109, 0.11704, 0.050108, 0.10816, -0.24675, 0.01464, 0.33406, 0.74152, 0.55411, -0.12623, 0.11705, -0.18601, 0.19883, 0.084439, 0.066335, -0.38253, -0.10593, -0.28858, -0.52394, -0.7836, 0.20684, 0.27051, -0.27843, 0.16241, 0.032567]",17.631
744,"[0.096248, 0.079085, -0.40263, 0.68496, 0.25112, 0.11708, 0.050175, 0.10819, -0.24672, 0.014714, 0.33412, 0.74159, 0.55417, -0.1262, 0.11711, -0.18597, 0.19887, 0.084481, 0.066384, -0.38248, -0.10588, -0.28856, -0.52392, -0.78355, 0.20688, 0.27055, -0.27839, 0.16247, 0.032634]",17.628
745,"[0.096269, 0.079139, -0.40287, 0.68512, 0.25095, 0.11695, 0.050328, 0.108, -0.24687, 0.014854, 0.33417, 0.74176, 0.55422, -0.1264, 0.11718, -0.18612, 0.19878, 0.084386, 0.066359, -0.38251, -0.10601, -0.28884, -0.52414, -0.78361, 0.20667, 0.27045, -0.27854, 0.16262, 0.032811]",17.628
746,"[0.096327, 0.079203, -0.40286, 0.68518, 0.25098, 0.11699, 0.050394, 0.10803, -0.24684, 0.014927, 0.33423, 0.74183, 0.55427, -0.12637, 0.11724, -0.18608, 0.19882, 0.084427, 0.066406, -0.38246, -0.10597, -0.28882, -0.52412, -0.78356, 0.20671, 0.27049, -0.2785, 0.16268, 0.032877]",17.627
747,"[0.096347, 0.07926, -0.40311, 0.68533, 0.25082, 0.11686, 0.050553, 0.10783, -0.24698, 0.015082, 0.33427, 0.742, 0.55432, -0.12656, 0.11731, -0.18623, 0.19873, 0.084329, 0.066378, -0.38248, -0.10611, -0.2891, -0.52434, -0.78363, 0.20651, 0.27038, -0.27864, 0.16283, 0.033056]",17.627
748,"[0.096404, 0.079323, -0.4031, 0.68539, 0.25085, 0.11689, 0.050618, 0.10786, -0.24695, 0.015156, 0.33433, 0.74207, 0.55437, -0.12653, 0.11737, -0.18619, 0.19877, 0.08437, 0.066426, -0.38243, -0.10607, -0.28908, -0.52432, -0.78358, 0.20655, 0.27041, -0.2786, 0.16289, 0.033122]",17.628
749,"[0.096408, 0.07937, -0.40331, 0.68553, 0.2507, 0.11677, 0.050746, 0.10769, -0.24708, 0.015287, 0.33436, 0.74222, 0.55442, -0.12671, 0.11744, -0.18633, 0.19868, 0.084272, 0.066382, -0.38246, -0.10619, -0.28932, -0.52451, -0.78364, 0.20637, 0.27032, -0.27873, 0.16302, 0.033286]",17.626
750,"[0.096462, 0.079431, -0.4033, 0.68559, 0.25073, 0.1168, 0.050809, 0.10771, -0.24705, 0.015357, 0.33441, 0.74229, 0.55447, -0.12668, 0.1175, -0.18629, 0.19872, 0.084311, 0.066427, -0.38241, -0.10615, -0.2893, -0.52449, -0.7836, 0.20641, 0.27035, -0.27869, 0.16308, 0.033348]",17.625
751,"[0.096472, 0.079466, -0.40349, 0.6857, 0.25059, 0.1167, 0.050921, 0.10755, -0.24716, 0.015465, 0.33444, 0.74241, 0.55451, -0.12684, 0.11754, -0.18642, 0.19864, 0.084225, 0.066392, -0.38243, -0.10625, -0.28952, -0.52466, -0.78365, 0.20625, 0.27026, -0.2788, 0.16319, 0.033485]",17.625
752,"[0.096524, 0.079524, -0.40348, 0.68576, 0.25061, 0.11673, 0.050982, 0.10757, -0.24713, 0.015533, 0.33449, 0.74248, 0.55456, -0.12682, 0.1176, -0.18639, 0.19868, 0.08426, 0.066435, -0.38239, -0.10621, -0.28951, -0.52464, -0.78361, 0.20628, 0.27029, -0.27877, 0.16325, 0.033547]",17.623
753,"[0.096534, 0.079581, -0.40368, 0.68588, 0.25047, 0.11662, 0.051105, 0.10741, -0.24726, 0.01565, 0.33452, 0.74262, 0.5546, -0.12698, 0.11765, -0.18652, 0.1986, 0.084173, 0.066405, -0.38242, -0.10633, -0.28974, -0.52481, -0.78367, 0.20611, 0.2702, -0.27889, 0.16337, 0.033677]",17.622
754,"[0.096586, 0.079641, -0.40367, 0.68594, 0.2505, 0.11665, 0.051167, 0.10743, -0.24723, 0.01572, 0.33457, 0.74269, 0.55465, -0.12695, 0.11771, -0.18649, 0.19864, 0.084209, 0.066447, -0.38238, -0.10629, -0.28973, -0.52479, -0.78363, 0.20614, 0.27023, -0.27886, 0.16343, 0.033741]",17.622
755,"[0.096586, 0.07967, -0.40384, 0.68604, 0.25038, 0.11655, 0.051267, 0.10729, -0.24734, 0.015815, 0.33459, 0.7428, 0.55468, -0.12709, 0.11775, -0.18661, 0.19857, 0.08414, 0.066418, -0.38241, -0.10638, -0.28993, -0.52494, -0.78368, 0.206, 0.27016, -0.27897, 0.16353, 0.033861]",17.622
756,"[0.096635, 0.079726, -0.40384, 0.6861, 0.2504, 0.11658, 0.051327, 0.10731, -0.24732, 0.01588, 0.33464, 0.74286, 0.55473, -0.12707, 0.11781, -0.18658, 0.1986, 0.084173, 0.066457, -0.38237, -0.10635, -0.28992, -0.52493, -0.78364, 0.20603, 0.27019, -0.27894, 0.16359, 0.03392]",17.623
757,"[0.096638, 0.079764, -0.40401, 0.6862, 0.25027, 0.11648, 0.051437, 0.10717, -0.24744, 0.015981, 0.33465, 0.74297, 0.55475, -0.12721, 0.11784, -0.1867, 0.19853, 0.084098, 0.066428, -0.3824, -0.10644, -0.29011, -0.52509, -0.78369, 0.20589, 0.27011, -0.27905, 0.16369, 0.034033]",17.62
758,"[0.09669, 0.079821, -0.40401, 0.68626, 0.25029, 0.11651, 0.051498, 0.10719, -0.24742, 0.016048, 0.3347, 0.74303, 0.5548, -0.12719, 0.1179, -0.18667, 0.19856, 0.084133, 0.066468, -0.38236, -0.10641, -0.2901, -0.52508, -0.78365, 0.20592, 0.27014, -0.27902, 0.16375, 0.034093]",17.62
759,"[0.096714, 0.079877, -0.40425, 0.68641, 0.25014, 0.11639, 0.051642, 0.10701, -0.24756, 0.016195, 0.33474, 0.74321, 0.55485, -0.12739, 0.11796, -0.18682, 0.19846, 0.084029, 0.066432, -0.38238, -0.10654, -0.29037, -0.52529, -0.78372, 0.20572, 0.27004, -0.27916, 0.16389, 0.034264]",17.619
760,"[0.096771, 0.07994, -0.40424, 0.68647, 0.25017, 0.11642, 0.051707, 0.10703, -0.24753, 0.016267, 0.3348, 0.74328, 0.5549, -0.12736, 0.11802, -0.18678, 0.1985, 0.084069, 0.066478, -0.38233, -0.1065, -0.29035, -0.52527, -0.78368, 0.20576, 0.27008, -0.27912, 0.16395, 0.034329]",17.619
761,"[0.096794, 0.080005, -0.40452, 0.68665, 0.24997, 0.11629, 0.05188, 0.10682, -0.24769, 0.016449, 0.33485, 0.74348, 0.55496, -0.12758, 0.11811, -0.18697, 0.19841, 0.083952, 0.06645, -0.38235, -0.10664, -0.29065, -0.52553, -0.78375, 0.20553, 0.26996, -0.27927, 0.16412, 0.03453]",17.619
762,"[0.096854, 0.080072, -0.40451, 0.68671, 0.25, 0.11633, 0.051948, 0.10685, -0.24766, 0.016526, 0.33491, 0.74355, 0.55502, -0.12755, 0.11818, -0.18693, 0.19845, 0.083997, 0.0665, -0.3823, -0.1066, -0.29063, -0.52551, -0.7837, 0.20557, 0.27, -0.27923, 0.16418, 0.034598]",17.617
763,"[0.096894, 0.080191, -0.40487, 0.68697, 0.24975, 0.11616, 0.052225, 0.10655, -0.24787, 0.016776, 0.335, 0.74385, 0.55511, -0.12787, 0.11831, -0.18717, 0.19832, 0.083859, 0.066454, -0.38233, -0.10676, -0.29104, -0.52584, -0.78381, 0.20524, 0.26986, -0.27944, 0.16443, 0.034907]",17.617
764,"[0.096964, 0.080266, -0.40485, 0.68704, 0.24979, 0.11621, 0.0523, 0.10659, -0.24783, 0.01686, 0.33507, 0.74393, 0.55517, -0.12783, 0.11839, -0.18712, 0.19837, 0.083912, 0.066513, -0.38227, -0.10671, -0.29101, -0.52581, -0.78375, 0.20529, 0.26991, -0.27939, 0.1645, 0.034982]",17.613
765,"[0.096991, 0.080337, -0.40511, 0.68721, 0.2496, 0.11607, 0.052469, 0.10639, -0.24799, 0.01702, 0.33511, 0.74411, 0.55523, -0.12803, 0.11846, -0.18729, 0.19828, 0.083805, 0.066495, -0.3823, -0.10684, -0.2913, -0.52603, -0.78382, 0.20507, 0.2698, -0.27955, 0.16466, 0.035182]",17.614
766,"[0.09705, 0.080402, -0.4051, 0.68727, 0.24963, 0.11611, 0.052535, 0.10642, -0.24796, 0.017095, 0.33517, 0.74418, 0.55529, -0.128, 0.11852, -0.18725, 0.19832, 0.083849, 0.066544, -0.38225, -0.1068, -0.29128, -0.52601, -0.78377, 0.20511, 0.26984, -0.27951, 0.16472, 0.035249]",17.614
767,"[0.09707, 0.080485, -0.40538, 0.68745, 0.24944, 0.11596, 0.05272, 0.10621, -0.24813, 0.01728, 0.33521, 0.74438, 0.55535, -0.12823, 0.1186, -0.18743, 0.19822, 0.083742, 0.0665, -0.38226, -0.10694, -0.29159, -0.52625, -0.78384, 0.20487, 0.26973, -0.27966, 0.16491, 0.035469]",17.613
768,"[0.09713, 0.080551, -0.40537, 0.68751, 0.24947, 0.116, 0.052787, 0.10624, -0.2481, 0.017355, 0.33527, 0.74445, 0.55541, -0.1282, 0.11866, -0.18739, 0.19826, 0.083785, 0.066549, -0.38221, -0.1069, -0.29157, -0.52623, -0.78379, 0.20491, 0.26977, -0.27962, 0.16497, 0.035536]",17.61
769,"[0.097182, 0.080648, -0.40574, 0.68777, 0.24924, 0.11581, 0.053045, 0.10596, -0.24831, 0.017587, 0.33533, 0.74474, 0.55551, -0.1285, 0.11879, -0.1876, 0.19816, 0.083649, 0.066523, -0.38224, -0.10707, -0.29198, -0.52655, -0.78387, 0.20459, 0.26963, -0.27983, 0.16521, 0.035814]",17.611
770,"[0.097249, 0.080722, -0.40572, 0.68784, 0.24928, 0.11585, 0.05312, 0.10599, -0.24827, 0.01767, 0.3354, 0.74482, 0.55557, -0.12846, 0.11886, -0.18755, 0.19821, 0.0837, 0.066579, -0.38218, -0.10702, -0.29195, -0.52652, -0.78381, 0.20464, 0.26967, -0.27978, 0.16528, 0.035886]",17.61
771,"[0.097269, 0.080842, -0.40609, 0.6881, 0.24903, 0.11566, 0.053393, 0.10571, -0.24849, 0.017917, 0.33548, 0.74511, 0.55566, -0.12876, 0.11898, -0.18777, 0.19809, 0.083567, 0.066532, -0.38219, -0.10721, -0.29236, -0.52685, -0.7839, 0.20431, 0.26951, -0.27997, 0.16554, 0.036199]",17.608
772,"[0.097338, 0.080917, -0.40607, 0.68817, 0.24907, 0.11571, 0.053468, 0.10574, -0.24845, 0.018001, 0.33555, 0.74519, 0.55572, -0.12872, 0.11905, -0.18772, 0.19814, 0.08362, 0.06659, -0.38213, -0.10716, -0.29233, -0.52682, -0.78384, 0.20436, 0.26956, -0.27992, 0.16561, 0.036274]",17.608
773,"[0.097379, 0.081056, -0.40654, 0.68848, 0.24876, 0.11549, 0.053795, 0.10539, -0.24872, 0.018328, 0.33566, 0.74556, 0.55583, -0.12909, 0.11921, -0.188, 0.19799, 0.083457, 0.066566, -0.38216, -0.10736, -0.29282, -0.52724, -0.78393, 0.20403, 0.26939, -0.28015, 0.16594, 0.03665]",17.605
774,"[0.097454, 0.081135, -0.40652, 0.68855, 0.2488, 0.11554, 0.053873, 0.10543, -0.24867, 0.018417, 0.33573, 0.74565, 0.5559, -0.12904, 0.11929, -0.18795, 0.19805, 0.083513, 0.066629, -0.3821, -0.1073, -0.29278, -0.52721, -0.78387, 0.20409, 0.26944, -0.2801, 0.16601, 0.036727]",17.602
775,"[0.097531, 0.081337, -0.40706, 0.68892, 0.24845, 0.11526, 0.054276, 0.10505, -0.24896, 0.018801, 0.33586, 0.74608, 0.55605, -0.12943, 0.11948, -0.18827, 0.19789, 0.08334, 0.06661, -0.38213, -0.10755, -0.29338, -0.52765, -0.78398, 0.20361, 0.26924, -0.28037, 0.16636, 0.037178]",17.603
776,"[0.097612, 0.081424, -0.40703, 0.689, 0.2485, 0.11532, 0.054361, 0.10509, -0.24891, 0.018897, 0.33594, 0.74617, 0.55612, -0.12938, 0.11957, -0.18821, 0.19795, 0.083402, 0.066679, -0.38206, -0.10748, -0.29334, -0.52761, -0.78391, 0.20367, 0.2693, -0.28031, 0.16644, 0.03726]",17.602
777,"[0.097695, 0.08159, -0.40754, 0.68936, 0.24817, 0.11508, 0.054721, 0.1047, -0.24921, 0.019284, 0.33605, 0.74659, 0.55629, -0.12979, 0.11975, -0.18851, 0.19778, 0.083217, 0.066614, -0.38207, -0.10769, -0.2939, -0.52806, -0.784, 0.2033, 0.2691, -0.28057, 0.16678, 0.037657]",17.599
778,"[0.097772, 0.081672, -0.40752, 0.68944, 0.24822, 0.11513, 0.054802, 0.10474, -0.24916, 0.019376, 0.33612, 0.74668, 0.55636, -0.12974, 0.11983, -0.18845, 0.19784, 0.083278, 0.06668, -0.382, -0.10763, -0.29386, -0.52802, -0.78394, 0.20336, 0.26915, -0.28051, 0.16686, 0.037737]",17.598
779,"[0.097855, 0.08187, -0.4081, 0.68987, 0.24784, 0.11485, 0.055209, 0.10428, -0.24948, 0.019762, 0.33626, 0.74715, 0.55654, -0.13021, 0.12005, -0.1888, 0.19768, 0.083111, 0.066617, -0.38202, -0.1079, -0.29448, -0.52851, -0.78403, 0.20294, 0.26893, -0.28079, 0.16728, 0.038238]",17.596
780,"[0.097937, 0.081957, -0.40807, 0.68995, 0.24789, 0.11491, 0.055296, 0.10433, -0.24943, 0.019858, 0.33634, 0.74724, 0.55661, -0.13016, 0.12014, -0.18874, 0.19774, 0.083175, 0.066687, -0.38195, -0.10783, -0.29444, -0.52847, -0.78396, 0.20301, 0.26899, -0.28073, 0.16736, 0.038322]",17.593
781,"[0.098035, 0.082154, -0.40867, 0.69038, 0.24749, 0.11461, 0.055733, 0.10388, -0.24978, 0.020295, 0.33647, 0.74775, 0.55677, -0.1306, 0.1204, -0.18908, 0.19753, 0.082978, 0.066665, -0.38195, -0.10811, -0.29511, -0.52899, -0.78404, 0.20257, 0.26879, -0.28106, 0.16776, 0.038792]",17.592
782,"[0.098119, 0.082245, -0.40864, 0.69046, 0.24754, 0.11467, 0.05582, 0.10393, -0.24972, 0.020392, 0.33655, 0.74785, 0.55685, -0.13054, 0.12049, -0.18901, 0.1976, 0.083045, 0.066736, -0.38188, -0.10804, -0.29507, -0.52895, -0.78397, 0.20264, 0.26885, -0.281, 0.16784, 0.038878]",17.591
783,"[0.098193, 0.082447, -0.40915, 0.69082, 0.24721, 0.11442, 0.056197, 0.10353, -0.25, 0.02076, 0.33665, 0.74826, 0.55699, -0.13093, 0.12066, -0.18932, 0.19743, 0.082861, 0.066699, -0.38187, -0.10827, -0.29561, -0.52939, -0.78407, 0.20218, 0.26866, -0.28127, 0.16821, 0.039301]",17.59
784,"[0.098272, 0.082531, -0.40913, 0.6909, 0.24726, 0.11448, 0.05628, 0.10357, -0.24995, 0.020854, 0.33673, 0.74835, 0.55706, -0.13088, 0.12074, -0.18926, 0.19749, 0.082923, 0.066766, -0.3818, -0.1082, -0.29557, -0.52935, -0.784, 0.20224, 0.26871, -0.28121, 0.16829, 0.039382]",17.587
785,"[0.098319, 0.082639, -0.40949, 0.69114, 0.247, 0.11431, 0.05653, 0.10329, -0.25017, 0.021111, 0.3368, 0.74863, 0.55716, -0.13118, 0.12088, -0.18949, 0.19735, 0.082808, 0.066732, -0.38181, -0.10839, -0.29596, -0.52967, -0.78409, 0.2019, 0.26855, -0.28139, 0.16855, 0.039679]",17.586
786,"[0.098387, 0.082712, -0.40947, 0.69121, 0.24704, 0.11436, 0.056604, 0.10332, -0.25013, 0.021193, 0.33687, 0.74871, 0.55722, -0.13114, 0.12095, -0.18944, 0.1974, 0.082859, 0.066789, -0.38175, -0.10834, -0.29593, -0.52964, -0.78403, 0.20195, 0.2686, -0.28134, 0.16862, 0.039752]",17.585
787,"[0.098438, 0.082833, -0.40983, 0.69144, 0.2468, 0.11418, 0.056865, 0.10305, -0.25033, 0.021422, 0.33692, 0.74898, 0.55732, -0.13141, 0.12106, -0.18966, 0.19727, 0.082713, 0.066757, -0.38177, -0.10853, -0.29632, -0.52996, -0.78412, 0.2017, 0.26846, -0.28153, 0.16886, 0.040032]",17.584
788,"[0.098503, 0.082904, -0.40981, 0.69151, 0.24684, 0.11422, 0.056937, 0.10308, -0.25029, 0.021503, 0.33698, 0.74906, 0.55738, -0.13137, 0.12113, -0.18961, 0.19732, 0.082762, 0.066811, -0.38171, -0.10848, -0.29629, -0.52993, -0.78407, 0.20175, 0.2685, -0.28148, 0.16893, 0.040103]",17.584
789,"[0.098537, 0.082967, -0.41008, 0.69169, 0.24665, 0.11409, 0.057113, 0.10288, -0.25045, 0.021684, 0.33702, 0.74927, 0.55744, -0.13158, 0.12122, -0.18979, 0.19722, 0.08265, 0.066782, -0.38173, -0.10863, -0.2966, -0.53016, -0.78412, 0.20151, 0.26838, -0.28163, 0.16911, 0.040303]",17.583
790,"[0.098594, 0.083031, -0.41007, 0.69175, 0.24668, 0.11413, 0.057178, 0.10291, -0.25042, 0.021756, 0.33708, 0.74934, 0.55749, -0.13155, 0.12128, -0.18975, 0.19726, 0.082694, 0.066829, -0.38168, -0.10859, -0.29658, -0.53014, -0.78407, 0.20155, 0.26842, -0.28159, 0.16917, 0.040368]",17.583
791,"[0.098615, 0.08309, -0.41031, 0.6919, 0.24651, 0.114, 0.05734, 0.10272, -0.25056, 0.021896, 0.33711, 0.74951, 0.55754, -0.13176, 0.12136, -0.18991, 0.19717, 0.082601, 0.066799, -0.38171, -0.1087, -0.29684, -0.53035, -0.78413, 0.20134, 0.26832, -0.28172, 0.16931, 0.040546]",17.581
792,"[0.098672, 0.083152, -0.4103, 0.69196, 0.24654, 0.11404, 0.057403, 0.10274, -0.25053, 0.021968, 0.33717, 0.74958, 0.55759, -0.13173, 0.12142, -0.18987, 0.19721, 0.082642, 0.066847, -0.38166, -0.10866, -0.29682, -0.53033, -0.78408, 0.20138, 0.26835, -0.28168, 0.16937, 0.040609]",17.58
793,"[0.098675, 0.083192, -0.41049, 0.69207, 0.24641, 0.11394, 0.057528, 0.10259, -0.25065, 0.022086, 0.33719, 0.74971, 0.55762, -0.13189, 0.12147, -0.19, 0.19714, 0.082564, 0.06681, -0.38168, -0.10876, -0.29704, -0.5305, -0.78414, 0.20121, 0.26827, -0.28179, 0.16948, 0.040744]",17.58
794,"[0.098726, 0.083248, -0.41048, 0.69213, 0.24643, 0.11397, 0.057586, 0.10261, -0.25062, 0.022152, 0.33724, 0.74977, 0.55767, -0.13187, 0.12153, -0.18997, 0.19718, 0.082598, 0.066852, -0.38164, -0.10872, -0.29703, -0.53049, -0.7841, 0.20124, 0.2683, -0.28176, 0.16954, 0.040803]",17.58
795,"[0.098733, 0.083296, -0.4107, 0.69226, 0.24629, 0.11386, 0.057727, 0.10244, -0.25075, 0.022282, 0.33726, 0.74991, 0.55772, -0.13204, 0.12159, -0.1901, 0.1971, 0.082509, 0.066826, -0.38167, -0.10883, -0.29726, -0.53068, -0.78416, 0.20105, 0.26821, -0.28188, 0.16967, 0.040951]",17.578
796,"[0.098785, 0.083354, -0.41069, 0.69232, 0.24632, 0.11389, 0.057787, 0.10246, -0.25072, 0.022351, 0.33731, 0.74998, 0.55777, -0.13201, 0.12165, -0.19007, 0.19714, 0.082546, 0.066868, -0.38163, -0.10879, -0.29724, -0.53066, -0.78412, 0.20109, 0.26824, -0.28185, 0.16973, 0.041011]",17.579
797,"[0.098788, 0.083393, -0.41086, 0.6924, 0.2462, 0.1138, 0.057874, 0.10233, -0.25082, 0.022446, 0.33733, 0.75008, 0.5578, -0.13215, 0.12169, -0.19018, 0.19708, 0.08247, 0.066837, -0.38166, -0.10888, -0.29742, -0.53081, -0.78417, 0.20095, 0.26817, -0.28195, 0.16982, 0.04112]",17.578
798,"[0.098837, 0.083448, -0.41086, 0.69245, 0.24622, 0.11383, 0.057931, 0.10235, -0.2508, 0.02251, 0.33738, 0.75014, 0.55785, -0.13213, 0.12174, -0.19015, 0.19711, 0.082503, 0.066876, -0.38162, -0.10885, -0.29741, -0.5308, -0.78413, 0.20098, 0.2682, -0.28192, 0.16988, 0.041177]",17.576
799,"[0.09884, 0.08348, -0.41102, 0.69253, 0.24611, 0.11375, 0.05801, 0.10223, -0.25089, 0.022589, 0.33739, 0.75024, 0.55787, -0.13226, 0.12177, -0.19025, 0.19704, 0.082437, 0.066844, -0.38164, -0.10893, -0.29759, -0.53094, -0.78417, 0.20085, 0.26813, -0.28201, 0.16996, 0.041283]",17.578
800,"[0.098885, 0.083532, -0.41102, 0.69258, 0.24613, 0.11378, 0.058066, 0.10225, -0.25087, 0.022652, 0.33744, 0.7503, 0.55791, -0.13224, 0.12182, -0.19022, 0.19707, 0.082468, 0.06688, -0.3816, -0.1089, -0.29758, -0.53093, -0.78413, 0.20088, 0.26816, -0.28198, 0.17001, 0.041339]",17.575
801,"[0.09888, 0.083557, -0.41116, 0.69265, 0.24603, 0.1137, 0.05814, 0.10214, -0.25095, 0.022721, 0.33745, 0.75038, 0.55792, -0.13236, 0.12185, -0.19031, 0.19701, 0.082403, 0.066852, -0.38162, -0.10897, -0.29773, -0.53105, -0.78417, 0.20076, 0.26809, -0.28207, 0.17008, 0.041429]",17.573
802,"[0.098923, 0.083607, -0.41116, 0.6927, 0.24605, 0.11372, 0.058194, 0.10215, -0.25093, 0.022782, 0.33749, 0.75044, 0.55796, -0.13234, 0.1219, -0.19029, 0.19704, 0.082433, 0.066888, -0.38158, -0.10894, -0.29772, -0.53104, -0.78414, 0.20078, 0.26811, -0.28204, 0.17013, 0.041485]",17.574
803,"[0.098915, 0.08364, -0.41132, 0.69278, 0.24594, 0.11363, 0.058285, 0.10203, -0.25103, 0.022876, 0.3375, 0.75054, 0.55799, -0.13248, 0.12193, -0.1904, 0.19698, 0.082358, 0.066858, -0.3816, -0.10903, -0.2979, -0.53118, -0.78419, 0.20064, 0.26804, -0.28214, 0.17022, 0.041596]",17.576
804,"[0.098961, 0.083693, -0.41132, 0.69283, 0.24596, 0.11366, 0.058343, 0.10205, -0.25101, 0.022939, 0.33755, 0.7506, 0.55804, -0.13246, 0.12198, -0.19037, 0.19701, 0.082391, 0.066897, -0.38156, -0.109, -0.29789, -0.53117, -0.78415, 0.20067, 0.26807, -0.28211, 0.17028, 0.041653]",17.575
805,"[0.098961, 0.083723, -0.41147, 0.69291, 0.24586, 0.11358, 0.058421, 0.10193, -0.25111, 0.023017, 0.33756, 0.75069, 0.55806, -0.13259, 0.12201, -0.19047, 0.19695, 0.082326, 0.066872, -0.38159, -0.10908, -0.29806, -0.5313, -0.78419, 0.20054, 0.268, -0.2822, 0.17036, 0.041749]",17.574
806,"[0.099007, 0.083774, -0.41147, 0.69296, 0.24588, 0.1136, 0.058478, 0.10195, -0.25109, 0.023079, 0.3376, 0.75075, 0.5581, -0.13257, 0.12206, -0.19044, 0.19698, 0.082358, 0.066908, -0.38155, -0.10905, -0.29805, -0.53129, -0.78416, 0.20057, 0.26802, -0.28217, 0.17041, 0.041805]",17.574
807,"[0.099007, 0.083807, -0.41163, 0.69305, 0.24576, 0.11351, 0.05857, 0.10182, -0.2512, 0.023165, 0.33761, 0.75086, 0.55812, -0.1327, 0.12209, -0.19054, 0.19692, 0.082283, 0.066872, -0.38158, -0.10914, -0.29823, -0.53143, -0.7842, 0.20043, 0.26794, -0.28226, 0.1705, 0.041916]",17.572
