Iteration,Xk,FXk
27,"[-0.037967, -0.11002, -0.015061, 0.22887, 0.0089055, 0.14403, -0.063743, 0.072639, -0.039259, -0.13194, 0.13356, 0.19838, 0.15102, -0.048969, 0.036124, 0.1405, 0.21878, 0.079769, 0.089792, -0.004901, -0.024326, 0.054286, -0.1061, -0.32181, 0.25061, 0.082892, 0.015688, 0.039849, -0.11147]",44.759
28,"[-0.036682, -0.10889, -0.014458, 0.2304, 0.010172, 0.1453, -0.063154, 0.074004, -0.038662, -0.13084, 0.13529, 0.2005, 0.15273, -0.047841, 0.037195, 0.14124, 0.22026, 0.081332, 0.090881, -0.0042788, -0.02292, 0.055322, -0.10553, -0.32169, 0.25241, 0.084493, 0.016534, 0.040867, -0.11074]",44.278
29,"[-0.037787, -0.11124, -0.016535, 0.23284, 0.010422, 0.14519, -0.067797, 0.07535, -0.042999, -0.13346, 0.13784, 0.20564, 0.1558, -0.049093, 0.034656, 0.13663, 0.22138, 0.08284, 0.089307, -0.0090846, -0.023214, 0.053804, -0.10927, -0.33024, 0.254, 0.087185, 0.012984, 0.039537, -0.11396]",43.813
30,"[-0.036521, -0.11013, -0.01596, 0.23434, 0.011663, 0.14641, -0.067218, 0.076677, -0.042405, -0.13239, 0.13951, 0.20769, 0.15747, -0.047982, 0.035693, 0.13734, 0.22281, 0.084355, 0.090365, -0.0084968, -0.021857, 0.054806, -0.10873, -0.33013, 0.25573, 0.088745, 0.013814, 0.040513, -0.11325]",43.361
31,"[-0.037466, -0.11228, -0.018028, 0.23677, 0.01199, 0.14628, -0.071653, 0.077992, -0.046498, -0.13492, 0.14192, 0.21259, 0.16047, -0.049092, 0.033214, 0.13282, 0.22381, 0.085804, 0.088847, -0.013252, -0.022196, 0.053319, -0.11242, -0.33845, 0.25716, 0.091379, 0.010443, 0.039154, -0.11636]",42.923
32,"[-0.036222, -0.11119, -0.017479, 0.23824, 0.013206, 0.14746, -0.071086, 0.079283, -0.045911, -0.13388, 0.14353, 0.21457, 0.16209, -0.048001, 0.034215, 0.1335, 0.22518, 0.087274, 0.089874, -0.012698, -0.020887, 0.054286, -0.11191, -0.33836, 0.25882, 0.092897, 0.011255, 0.04009, -0.11567]",42.498
33,"[-0.037022, -0.11318, -0.019553, 0.24068, 0.013615, 0.14731, -0.075359, 0.080589, -0.049822, -0.13633, 0.14582, 0.2193, 0.16505, -0.048985, 0.031775, 0.12901, 0.22608, 0.088683, 0.088406, -0.017437, -0.021262, 0.052812, -0.11558, -0.34653, 0.26013, 0.095505, 0.0080155, 0.038706, -0.11868]",42.081
34,"[-0.035794, -0.1121, -0.019026, 0.24212, 0.014813, 0.14846, -0.074798, 0.081848, -0.049235, -0.13531, 0.14738, 0.22122, 0.16663, -0.047908, 0.032748, 0.12966, 0.2274, 0.090113, 0.089408, -0.016908, -0.019992, 0.053752, -0.11509, -0.34644, 0.26173, 0.096989, 0.008813, 0.03961, -0.118]",41.679
35,"[-0.036474, -0.11394, -0.02112, 0.24458, 0.015307, 0.1483, -0.078945, 0.083142, -0.052982, -0.13767, 0.14957, 0.2258, 0.16955, -0.048787, 0.030345, 0.12521, 0.22821, 0.091489, 0.087969, -0.021638, -0.020395, 0.052294, -0.11873, -0.35446, 0.26293, 0.099587, 0.0056797, 0.03819, -0.12093]",41.283
36,"[-0.035262, -0.11287, -0.020612, 0.24599, 0.016491, 0.14942, -0.078389, 0.084372, -0.052396, -0.13667, 0.15108, 0.22767, 0.1711, -0.047724, 0.031294, 0.12584, 0.22949, 0.092883, 0.088947, -0.021132, -0.019162, 0.05321, -0.11826, -0.35437, 0.26448, 0.10104, 0.0064647, 0.039066, -0.12026]",40.899
